state_code,state_name,population,year,unemployed,employed,med_hr_wage
01,Alabama,3712212,2018,86489.5,2112347.1666666665,16.22
01,Alabama,3712212,2019,75027.33333333333,2171220.888888889,NA
02,Alaska,532244,2018,23510.5,333374.9166666667,23.09
02,Alaska,532244,2019,22410,329747.6666666667,NA
04,Arizona,5035771,2018,166204.5,3273550.0833333335,17.8
04,Arizona,5035771,2019,175742.33333333334,3364252,NA
05,Arkansas,2224112,2018,50036.75,1301458.6666666667,15.31
05,Arkansas,2224112,2019,49597.22222222222,1313325,NA
06,California,25838830,2018,815409.6666666666,18582801.833333332,20.4
06,California,25838830,2019,810675.6666666666,18628272,NA
08,Colorado,4151040,2018,101606.08333333333,2994752,20.34
08,Colorado,4151040,2019,93185.88888888889,3056706.777777778,NA
09,Connecticut,2614365,2018,78242.25,1827070.3333333333,22.56
09,Connecticut,2614365,2019,73497.11111111111,1839507.2222222222,NA
10,Delaware,720867,2018,18128.416666666668,464336.5,19.18
10,Delaware,720867,2019,17132.777777777777,471794.8888888889,NA
11,District of Columbia,526393,2018,22470,382140.0833333333,34.46
11,District of Columbia,526393,2019,23043.11111111111,387914.8888888889,NA
12,Florida,15327815,2018,365096.8333333333,9869673.083333334,16.62
12,Florida,15327815,2019,347758.44444444444,10041856.555555556,NA
13,Georgia,7486799,2018,201245.25,4906411.416666667,17.28
13,Georgia,7486799,2019,187664.66666666666,4921504.777777778,NA
15,Hawaii,1016506,2018,16606.333333333332,662127.5,20.42
15,Hawaii,1016506,2019,18569.444444444445,645230.2222222222,NA
16,Idaho,1252414,2018,24316.75,832732.3333333334,16.47
16,Idaho,1252414,2019,25890.666666666668,852041.5555555555,NA
17,Illinois,9074766,2018,278349.25,6191318.5,19.21
17,Illinois,9074766,2019,271398.55555555556,6226106.222222222,NA
18,Indiana,4935180,2018,116133.08333333333,3265579.5,17.18
18,Indiana,4935180,2019,117208.44444444444,3282485.6666666665,NA
19,Iowa,2327219,2018,42560.166666666664,1644279.5,17.84
19,Iowa,2327219,2019,44349.11111111111,1683732.6666666667,NA
20,Kansas,2091514,2018,49832.5,1432386.5,17.28
20,Kansas,2091514,2019,50485.333333333336,1431675.888888889,NA
21,Kentucky,3368919,2018,89309.83333333333,1972311.5833333333,16.66
21,Kentucky,3368919,2019,90460.22222222222,1982077.6666666667,NA
22,Louisiana,3459079,2018,102703.83333333333,2000790.6666666667,16.05
22,Louisiana,3459079,2019,95474.66666666667,2001674.7777777778,NA
23,Maine,1070661,2018,23523.5,675221.0833333334,17.85
23,Maine,1070661,2019,21739,671987.1111111111,NA
24,Maryland,4320150,2018,125485,3071651.9166666665,21.49
24,Maryland,4320150,2019,123301.22222222222,3115258.6666666665,NA
25,Massachusetts,5035804,2018,127048.08333333333,3678401.6666666665,23.4
25,Massachusetts,5035804,2019,117345.88888888889,3727709,NA
26,Michigan,7542878,2018,203223.91666666666,4698845,18.08
26,Michigan,7542878,2019,210061.77777777778,4749214,NA
27,Minnesota,4106914,2018,89338.5,2980884.9166666665,20.49
27,Minnesota,4106914,2019,105722.88888888889,3002734.222222222,NA
28,Mississippi,2240658,2018,60729.333333333336,1214991.5,14.7
28,Mississippi,2240658,2019,67797.88888888889,1209776.2222222222,NA
29,Missouri,4633370,2018,97577.58333333333,2954808.0833333335,17.33
29,Missouri,4633370,2019,103260.88888888889,2973700.888888889,NA
30,Montana,823668,2018,19656.333333333332,508587.6666666667,16.87
30,Montana,823668,2019,18600.333333333332,514199.8888888889,NA
31,Nebraska,1380260,2018,28508.583333333332,991687.9166666666,17.85
31,Nebraska,1380260,2019,32342.666666666668,1006005.8888888889,NA
32,Nevada,2075166,2018,68417.58333333333,1431959.1666666667,17.09
32,Nevada,2075166,2019,62905.666666666664,1473013.111111111,NA
